PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30145281,1276,1092,11.43905085,602.37
30145281,1092,11,15.3931929,1159.7
30145281,11,1092,15.3931929,1159.7
30145281,1092,1276,11.43905085,602.37
30145281,1276,1405,7.851248438,346.8
30146331,317,104,11.34749688,620.89
30146331,104,317,11.34749688,620.89
30146331,317,317,6.336834304,243.2
30146331,317,317,6.336834304,243.2
30147441,738,736,8.719774006,431.89
30147441,736,744,32.93629588,2162.3
30147441,744,736,32.93629588,2162.3
30147441,736,738,8.719774006,431.89
30147442,738,535,60.63941591,3840.3
30147442,535,735,60.36351676,3767.7
30147442,735,738,6.948637571,258.37
30147442,738,735,6.948637571,258.37
30147442,735,738,6.948637571,258.37
30147443,738,738,7.122342685,256.69
30147443,738,738,7.122342685,256.69
30147444,738,738,7.122342685,256.69
30147444,738,738,7.122342685,256.69
30147445,738,738,7.122342685,256.69
30147445,738,738,7.122342685,256.69
30147446,738,736,8.719774006,431.89
30147446,736,738,8.719774006,431.89
30147447,738,736,8.719774006,431.89
30147447,736,738,8.719774006,431.89
30150021,196,197,4.89238473,56.915
30150021,197,196,4.89238473,56.915
30150021,196,200,5.542789134,120.64
30150021,200,196,5.542789134,120.64
30150021,196,197,4.89238473,56.915
30150021,197,196,4.89238473,56.915
30150021,196,118,13.98029233,842.08
30150021,118,118,4.887522472,56.438
30150021,118,196,13.98029233,842.08
30150021,196,197,4.89238473,56.915
30150021,197,196,4.89238473,56.915
30150733,108,108,4.863235923,54.059
30150733,108,108,4.863235923,54.059
30150735,569,764,45.24597557,2534
30150735,764,96,28.70996634,2068.7
30150735,96,569,37.37790099,2580.1
30151701,191,27,19.33743722,1472.1
30151701,27,22,5.49899169,116.34
30151701,22,27,5.49899169,116.34
30151701,27,110,12.96577528,847.9
30151701,110,191,11.47183707,701.51
30153831,86,181,7.970516051,358.48
30153831,181,106,7.715092827,333.46
30153831,106,86,8.30326527,391.08
30155551,167,154,8.161665909,377.21
30155551,154,165,7.945400568,939.39
30155551,165,165,5.269364418,677.22
30155551,165,167,5.446781179,694.6
30155551,167,171,5.186285369,85.711
30155551,171,170,4.95690554,63.237
30155551,170,167,5.617331392,127.94
30155552,167,1001,45.18473338,2476.9
30155552,1001,167,45.18473338,2476.9
30155553,167,154,8.161665909,377.21
30155553,154,167,8.161665909,377.21
30155555,167,154,8.161665909,377.21
30155555,154,165,7.945400568,939.39
30155555,165,165,5.269364418,677.22
30155555,165,167,5.446781179,694.6
30155555,167,171,5.186285369,85.711
30155555,171,170,4.95690554,63.237
30155555,170,167,5.617331392,127.94
30156961,168,268,14.42197841,1606.7
30156961,268,183,17.47295284,1756.8
30156961,183,168,11.82320639,735.95
30156962,168,1075,33.04888253,2032.5
30156962,1075,168,33.04888253,2032.5
30156963,168,127,23.46911974,1349.9
30156963,127,168,23.46911974,1349.9
30157281,468,106,33.59635057,1985.2
30157281,106,106,4.918137379,59.436
30157281,106,87,7.754745597,337.35
30157281,87,468,37.15334631,2311.1
30158001,1013,1012,5.393457173,106.01
30158001,1012,1013,5.393457173,106.01
30158651,1576,1589,11.35801321,688.79
30158651,1589,1598,7.198245881,282.82
30158651,1598,1576,11.81269006,777.7
30159591,1349,1359,13.57819716,907.91
30159591,1359,1349,13.57819716,907.91
30159591,1349,1359,13.57819716,907.91
30159591,1359,1401,9.35861044,487.34
30159591,1401,1359,9.35861044,487.34
30159591,1359,1448,16.39843082,1184.2
30159591,1448,1441,8.962948793,455.72
30159591,1441,1349,7.733651065,335.28
30159591,1349,1428,15.28926676,1009.6
30159591,1428,1349,15.28926676,1009.6
30159592,1349,92,39.34321847,2714.6
30159592,92,1349,39.34321847,2714.6
30159593,1349,1359,13.57819716,907.91
30159593,1359,1448,16.39843082,1184.2
30159593,1448,1441,8.962948793,455.72
30159593,1441,1349,7.733651065,335.28
30159594,1349,1359,13.57819716,907.91
30159594,1359,1349,13.57819716,907.91
30159594,1349,1359,13.57819716,907.91
30159594,1359,1401,9.35861044,487.34
30159594,1401,1359,9.35861044,487.34
30159594,1359,1448,16.39843082,1184.2
30159594,1448,1441,8.962948793,455.72
30159594,1441,1349,7.733651065,335.28
